2026-02-25 09:48:06 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 09:48:06 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 09:52:42 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 09:52:42 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 09:52:45 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 09:52:45 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 09:52:45 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 09:52:45 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 09:58:15 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 09:58:15 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 09:58:18 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 09:58:18 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 09:58:18 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 09:58:18 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 09:58:37 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 09:58:37 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 09:58:40 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 09:58:40 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 09:58:40 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 09:58:40 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 10:05:04 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 10:05:04 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 10:05:07 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 10:05:07 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 10:05:07 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 10:05:07 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 10:08:19 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 10:08:19 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 10:08:22 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 10:08:22 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 10:08:22 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 10:08:22 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 10:11:57 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 10:11:57 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 10:12:00 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 10:12:00 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 10:12:00 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 10:12:00 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 10:22:21 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 10:22:21 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 10:22:25 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 10:22:25 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 10:22:25 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 10:22:25 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 10:24:44 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 10:24:44 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 10:24:47 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
